com_code;item;tDMdunit;tCdt DM;tCdunit;source
c01;Industrial roundwood, coniferous;0.45;0.5;0.225;IPCC (2019)
c02;Industrial roundwood, non-coniferous;0.56;0.5;0.28;IPCC (2019)
c03;Wood fuel;0.458;0.5;0.229;IPCC (2019)
c04;Sawnwood, coniferous;0.45;0.5;0.225;IPCC (2019)
c05;Sawnwood, non-coniferous;0.56;0.5;0.28;IPCC (2019)
c06;Veneer;0.505;0.5;0.253;IPCC (2019)
c07;Plywood;0.542;0.493;0.267;IPCC (2019)
c08;Fibreboard;0.658357682;0.430261239;0.281494818;weighted world average, IPCC (2019)
c09;Particle board;0.596;0.451;0.269;IPCC (2019)
c10;OSB;0.573;0.463;0.265;IPCC (2019)
c11a;Chemical wood pulp;0.9;;0.40975;average of all kinds of chem pulp, IPCC (2019)
c11b;Mechanical and semi-chemical wood pulp;0.9;;0.447; IPCC (2019)
c11c;Pulp from fibres other than wood;0.9;;0.5;Own assumption
c11d;Dissolving wood pulp;;;0.4284;average c11a and c11b
c12;Recovered paper;0.9;0;0.386;IPCC (2019)
c13;Recovered pulp;;;0.386;Own assumption based on IPCC (2019)
c14;Paper and paper board;0.9;;0.386;IPCC (2019)
c15;Wood pellets and other agglomerates;;;0.508;Baumgartner et al. (2015)
c16;Charcoal;0.9;0.85;0.765;IPCC (2019)
c17;Wood chips and particles;0.458;0.5;0.07633;IPCC (2019) divided by 3
c18;Wood residues;0.458;0.5;0.07633; IPCC (2019) divided by 3
c19;Post-consumer wood;;;0.25625;Own assumption (average c04-7)
c20;Black Liquor;;;0.5;Own assumption